 minimum eigenvalues =    4.8799005132501518        6.9201197127079643        7.6562147928880719     
 maximum eigenvalues =    9711.1430838537053        3039.6850435125002        1244.4129447052055     
 num eigs kept =           32
 minimum eigenvalues =    4.8799005132501518        6.9201197127079643        7.6562147928880719     
 maximum eigenvalues =    9711.1430838537053        3039.6850435125002        1244.4129447052055     
 num eigs kept =           32
 iter    40 lrate =  0.0500000000 LL =  -3.4424553915 nd =  0.0088070259, D =   0.87837E-01  0.87837E-01  (  0.10 s,   0.0 h)
 iter    41 lrate =  0.0500000000 LL =  -3.4423226720 nd =  0.0087682129, D =   0.86349E-01  0.86349E-01  (  0.10 s,   0.0 h)
 iter    42 lrate =  0.0500000000 LL =  -3.4421911989 nd =  0.0087309078, D =   0.84898E-01  0.84898E-01  (  0.10 s,   0.0 h)
 iter    43 lrate =  0.0500000000 LL =  -3.4420611786 nd =  0.0086945363, D =   0.83480E-01  0.83480E-01  (  0.10 s,   0.0 h)
 iter    44 lrate =  0.0500000000 LL =  -3.4419321185 nd =  0.0086603649, D =   0.82095E-01  0.82095E-01  (  0.10 s,   0.0 h)
 iter    45 lrate =  0.0500000000 LL =  -3.4418042727 nd =  0.0086283889, D =   0.80742E-01  0.80742E-01  (  0.10 s,   0.0 h)
 iter    46 lrate =  0.0500000000 LL =  -3.4416768672 nd =  0.0085974373, D =   0.79422E-01  0.79422E-01  (  0.10 s,   0.0 h)
 iter    47 lrate =  0.0500000000 LL =  -3.4415505599 nd =  0.0085658375, D =   0.78132E-01  0.78132E-01  (  0.10 s,   0.0 h)
 iter    48 lrate =  0.0500000000 LL =  -3.4414252826 nd =  0.0085355070, D =   0.76874E-01  0.76874E-01  (  0.10 s,   0.0 h)
 iter    49 lrate =  0.0500000000 LL =  -3.4413008778 nd =  0.0085045367, D =   0.75648E-01  0.75648E-01  (  0.10 s,   0.0 h)
 iter    50 lrate =  0.0500000000 LL =  -3.4411775002 nd =  0.0073499988, D =   0.74448E-01  0.74448E-01  (  0.10 s,   0.0 h)
 iter    51 lrate =  0.1000000000 LL =  -3.4409782229 nd =  0.0073279306, D =   0.73141E-01  0.73141E-01  (  0.10 s,   0.0 h)
 iter    52 lrate =  0.2000000000 LL =  -3.4405919551 nd =  0.0072717685, D =   0.70617E-01  0.70617E-01  (  0.10 s,   0.0 h)
 iter    53 lrate =  0.3000000000 LL =  -3.4400260592 nd =  0.0071975653, D =   0.67051E-01  0.67051E-01  (  0.10 s,   0.0 h)
 iter    54 lrate =  0.4000000000 LL =  -3.4392902421 nd =  0.0071025916, D =   0.62693E-01  0.62693E-01  (  0.10 s,   0.0 h)
 iter    55 lrate =  0.5000000000 LL =  -3.4383944792 nd =  0.0069838003, D =   0.57833E-01  0.57833E-01  (  0.10 s,   0.0 h)
 iter    56 lrate =  0.6000000000 LL =  -3.4373514586 nd =  0.0068564048, D =   0.52779E-01  0.52779E-01  (  0.10 s,   0.0 h)
 iter    57 lrate =  0.7000000000 LL =  -3.4361733721 nd =  0.0067176434, D =   0.47812E-01  0.47812E-01  (  0.10 s,   0.0 h)
 iter    58 lrate =  0.8000000000 LL =  -3.4348773500 nd =  0.0065306037, D =   0.43152E-01  0.43152E-01  (  0.10 s,   0.0 h)
 iter    59 lrate =  0.9000000000 LL =  -3.4334862033 nd =  0.0063144473, D =   0.38858E-01  0.38858E-01  (  0.10 s,   0.0 h)
 iter    60 lrate =  1.0000000000 LL =  -3.4320290718 nd =  0.0060694050, D =   0.35007E-01  0.35007E-01  (  0.10 s,   0.0 h)
 iter    61 lrate =  1.0000000000 LL =  -3.4306539336 nd =  0.0058165467, D =   0.31848E-01  0.31848E-01  (  0.10 s,   0.0 h)
 iter    62 lrate =  1.0000000000 LL =  -3.4293727997 nd =  0.0055406777, D =   0.29288E-01  0.29288E-01  (  0.10 s,   0.0 h)
 iter    63 lrate =  1.0000000000 LL =  -3.4281948781 nd =  0.0052692527, D =   0.27250E-01  0.27250E-01  (  0.10 s,   0.0 h)
 iter    64 lrate =  1.0000000000 LL =  -3.4271211832 nd =  0.0050272799, D =   0.25745E-01  0.25745E-01  (  0.10 s,   0.0 h)
 iter    65 lrate =  1.0000000000 LL =  -3.4261411718 nd =  0.0048073579, D =   0.24812E-01  0.24812E-01  (  0.10 s,   0.0 h)
 iter    66 lrate =  1.0000000000 LL =  -3.4252466155 nd =  0.0046179247, D =   0.24345E-01  0.24345E-01  (  0.10 s,   0.0 h)
 iter    67 lrate =  1.0000000000 LL =  -3.4244237228 nd =  0.0044367521, D =   0.24187E-01  0.24187E-01  (  0.10 s,   0.0 h)
 iter    68 lrate =  1.0000000000 LL =  -3.4236656099 nd =  0.0042766153, D =   0.24212E-01  0.24212E-01  (  0.10 s,   0.0 h)
 iter    69 lrate =  1.0000000000 LL =  -3.4229613447 nd =  0.0041429572, D =   0.24322E-01  0.24322E-01  (  0.10 s,   0.0 h)
 iter    70 lrate =  1.0000000000 LL =  -3.4223013447 nd =  0.0040280167, D =   0.24478E-01  0.24478E-01  (  0.10 s,   0.0 h)
 iter    71 lrate =  1.0000000000 LL =  -3.4216799403 nd =  0.0039220625, D =   0.24654E-01  0.24654E-01  (  0.10 s,   0.0 h)
 iter    72 lrate =  1.0000000000 LL =  -3.4210881340 nd =  0.0038434466, D =   0.24854E-01  0.24854E-01  (  0.10 s,   0.0 h)
 iter    73 lrate =  1.0000000000 LL =  -3.4205200068 nd =  0.0037706961, D =   0.25099E-01  0.25099E-01  (  0.10 s,   0.0 h)
 iter    74 lrate =  1.0000000000 LL =  -3.4199694700 nd =  0.0037100029, D =   0.25387E-01  0.25387E-01  (  0.10 s,   0.0 h)
 iter    75 lrate =  1.0000000000 LL =  -3.4194343331 nd =  0.0036479584, D =   0.25686E-01  0.25686E-01  (  0.10 s,   0.0 h)
 iter    76 lrate =  1.0000000000 LL =  -3.4189134918 nd =  0.0035920222, D =   0.26006E-01  0.26006E-01  (  0.10 s,   0.0 h)
 iter    77 lrate =  1.0000000000 LL =  -3.4184066190 nd =  0.0035339680, D =   0.26356E-01  0.26356E-01  (  0.10 s,   0.0 h)
 iter    78 lrate =  1.0000000000 LL =  -3.4179137938 nd =  0.0034747481, D =   0.26715E-01  0.26715E-01  (  0.10 s,   0.0 h)
 iter    79 lrate =  1.0000000000 LL =  -3.4174367980 nd =  0.0034084627, D =   0.27097E-01  0.27097E-01  (  0.10 s,   0.0 h)
 iter    80 lrate =  1.0000000000 LL =  -3.4169767547 nd =  0.0033321218, D =   0.27486E-01  0.27486E-01  (  0.10 s,   0.0 h)
 iter    81 lrate =  1.0000000000 LL =  -3.4165384642 nd =  0.0032441994, D =   0.27901E-01  0.27901E-01  (  0.11 s,   0.0 h)
 iter    82 lrate =  1.0000000000 LL =  -3.4161213948 nd =  0.0031523169, D =   0.28348E-01  0.28348E-01  (  0.10 s,   0.0 h)
 iter    83 lrate =  1.0000000000 LL =  -3.4157282834 nd =  0.0030511007, D =   0.28801E-01  0.28801E-01  (  0.10 s,   0.0 h)
 iter    84 lrate =  1.0000000000 LL =  -3.4153589168 nd =  0.0029613584, D =   0.29281E-01  0.29281E-01  (  0.10 s,   0.0 h)
 iter    85 lrate =  1.0000000000 LL =  -3.4150109305 nd =  0.0028842884, D =   0.29777E-01  0.29777E-01  (  0.10 s,   0.0 h)
 iter    86 lrate =  1.0000000000 LL =  -3.4146806129 nd =  0.0028133041, D =   0.30284E-01  0.30284E-01  (  0.10 s,   0.0 h)
 iter    87 lrate =  1.0000000000 LL =  -3.4143657476 nd =  0.0027405093, D =   0.30773E-01  0.30773E-01  (  0.10 s,   0.0 h)
 iter    88 lrate =  1.0000000000 LL =  -3.4140664829 nd =  0.0026759716, D =   0.31255E-01  0.31255E-01  (  0.10 s,   0.0 h)
 iter    89 lrate =  1.0000000000 LL =  -3.4137827396 nd =  0.0026172247, D =   0.31754E-01  0.31754E-01  (  0.10 s,   0.0 h)
 iter    90 lrate =  1.0000000000 LL =  -3.4135099614 nd =  0.0025723970, D =   0.32216E-01  0.32216E-01  (  0.10 s,   0.0 h)
 iter    91 lrate =  1.0000000000 LL =  -3.4132471327 nd =  0.0025251906, D =   0.32652E-01  0.32652E-01  (  0.10 s,   0.0 h)
 iter    92 lrate =  1.0000000000 LL =  -3.4129956272 nd =  0.0024806124, D =   0.33075E-01  0.33075E-01  (  0.10 s,   0.0 h)
 iter    93 lrate =  1.0000000000 LL =  -3.4127524864 nd =  0.0024369464, D =   0.33513E-01  0.33513E-01  (  0.10 s,   0.0 h)
 iter    94 lrate =  1.0000000000 LL =  -3.4125183782 nd =  0.0023791588, D =   0.33946E-01  0.33946E-01  (  0.10 s,   0.0 h)
 iter    95 lrate =  1.0000000000 LL =  -3.4122952276 nd =  0.0023308726, D =   0.34370E-01  0.34370E-01  (  0.10 s,   0.0 h)
 iter    96 lrate =  1.0000000000 LL =  -3.4120794495 nd =  0.0022935368, D =   0.34803E-01  0.34803E-01  (  0.10 s,   0.0 h)
 iter    97 lrate =  1.0000000000 LL =  -3.4118716676 nd =  0.0022663411, D =   0.35211E-01  0.35211E-01  (  0.10 s,   0.0 h)
 iter    98 lrate =  1.0000000000 LL =  -3.4116682686 nd =  0.0022430245, D =   0.35585E-01  0.35585E-01  (  0.10 s,   0.0 h)
 iter    99 lrate =  1.0000000000 LL =  -3.4114690851 nd =  0.0022236502, D =   0.35953E-01  0.35953E-01  (  0.10 s,   0.0 h)
 iter   100 lrate =  1.0000000000 LL =  -3.4112742644 nd =  0.0022054248, D =   0.36296E-01  0.36296E-01  (  0.10 s,   0.0 h)
... done. Execution time:   0.00 h 
output directory = ./fortran_output/
